word,tag
the,DET
fulton,NOUN
county,NOUN
grand,ADJ
jury,NOUN
said,VERB
friday,NOUN
an,DET
investigation,NOUN
of,ADP
atlanta's,NOUN
recent,ADJ
primary,NOUN
election,NOUN
produced,VERB
!,ADJ
no,DET
evidence,NOUN
!,ADJ
that,ADP
any,DET
irregularities,NOUN
took,VERB
place,NOUN
!,ADJ
the,DET
jury,NOUN
further,ADV
said,VERB
in,ADP
term-end,NOUN
presentments,NOUN
that,ADP
the,DET
city,NOUN
executive,ADJ
committee,NOUN
!,ADJ
which,DET
had,VERB
over-all,ADJ
charge,NOUN
of,ADP
the,DET
election,NOUN
!,ADJ
!,ADJ
deserves,VERB
the,DET
praise,NOUN
and,CONJ
thanks,NOUN
of,ADP
the,DET
city,NOUN
of,ADP
atlanta,NOUN
!,ADJ
for,ADP
the,DET
manner,NOUN
in,ADP
which,DET
the,DET
election,NOUN
was,VERB
conducted,VERB
!,ADJ
the,DET
september-october,NOUN
term,NOUN
jury,NOUN
had,VERB
been,VERB
charged,VERB
by,ADP
fulton,NOUN
superior,ADJ
court,NOUN
judge,NOUN
durwood,NOUN
pye,NOUN
to,PRT
investigate,VERB
reports,NOUN
of,ADP
possible,ADJ
!,ADJ
irregularities,NOUN
!,ADJ
in,ADP
the,DET
hard-fought,ADJ
primary,NOUN
which,DET
was,VERB
won,VERB
by,ADP
mayor-nominate,NOUN
ivan,NOUN
allen,NOUN
jr.,NOUN
!,ADJ
!,ADJ
only,ADV
a,DET
relative,ADJ
handful,NOUN
of,ADP
such,ADJ
reports,NOUN
was,VERB
received,VERB
!,ADJ
!,ADJ
the,DET
jury,NOUN
said,VERB
!,ADJ
!,ADJ
considering,ADP
the,DET
widespread,ADJ
interest,NOUN
in,ADP
the,DET
election,NOUN
!,ADJ
the,DET
number,NOUN
of,ADP
voters,NOUN
and,CONJ
the,DET
size,NOUN
of,ADP
this,DET
city,NOUN
!,ADJ
!,ADJ
the,DET
jury,NOUN
said,VERB
it,PRON
did,VERB
find,VERB
that,ADP
many,ADJ
of,ADP
georgia's,NOUN
registration,NOUN
and,CONJ
election,NOUN
laws,NOUN
!,ADJ
are,VERB
outmoded,ADJ
or,CONJ
inadequate,ADJ
and,CONJ
often,ADV
ambiguous,ADJ
!,ADJ
!,ADJ
it,PRON
recommended,VERB
that,ADP
fulton,NOUN
legislators,NOUN
act,VERB
!,ADJ
to,PRT
have,VERB
these,DET
laws,NOUN
studied,VERB
and,CONJ
revised,VERB
to,ADP
the,DET
end,NOUN
of,ADP
modernizing,VERB
and,CONJ
improving,VERB
them,PRON
!,ADJ
!,ADJ
the,DET
grand,ADJ
jury,NOUN
commented,VERB
on,ADP
a,DET
number,NOUN
of,ADP
other,ADJ
topics,NOUN
!,ADJ
among,ADP
them,PRON
the,DET
atlanta,NOUN
and,CONJ
fulton,NOUN
county,NOUN
purchasing,VERB
departments,NOUN
which,DET
it,PRON
said,VERB
!,ADJ
are,VERB
well,ADV
operated,VERB
and,CONJ
follow,VERB
generally,ADV
accepted,VERB
practices,NOUN
which,DET
inure,VERB
to,ADP
the,DET
best,ADJ
interest,NOUN
of,ADP
both,DET
governments,NOUN
!,ADJ
!,ADJ
merger,NOUN
proposed,VERB
however,ADV
!,ADJ
the,DET
jury,NOUN
said,VERB
it,PRON
believes,VERB
!,ADJ
these,DET
two,NUM
offices,NOUN
should,VERB
be,VERB
combined,VERB
to,PRT
achieve,VERB
greater,ADJ
efficiency,NOUN
and,CONJ
reduce,VERB
the,DET
cost,NOUN
of,ADP
administration,NOUN
!,ADJ
!,ADJ
the,DET
city,NOUN
purchasing,VERB
department,NOUN
!,ADJ
the,DET
jury,NOUN
said,VERB
!,ADJ
!,ADJ
is,VERB
lacking,VERB
in,ADP
experienced,VERB
clerical,ADJ
personnel,NOUN
as,ADP
a,DET
result,NOUN
of,ADP
city,NOUN
personnel,NOUN
policies,NOUN
!,ADJ
!,ADJ
it,PRON
urged,VERB
that,ADP
the,DET
city,NOUN
!,ADJ
take,VERB
steps,NOUN
to,PRT
remedy,VERB
!,ADJ
this,DET
problem,NOUN
!,ADJ
implementation,NOUN
of,ADP
georgia's,NOUN
automobile,NOUN
title,NOUN
law,NOUN
was,VERB
also,ADV
recommended,VERB
by,ADP
the,DET
outgoing,ADJ
jury,NOUN
!,ADJ
it,PRON
urged,VERB
that,ADP
the,DET
next,ADJ
legislature,NOUN
!,ADJ
provide,VERB
enabling,VERB
funds,NOUN
and,CONJ
re-set,VERB
the,DET
effective,ADJ
date,NOUN
so,ADP
that,ADP
an,DET
orderly,ADJ
implementation,NOUN
of,ADP
the,DET
law,NOUN
may,VERB
be,VERB
effected,VERB
!,ADJ
!,ADJ
the,DET
grand,ADJ
jury,NOUN
took,VERB
a,DET
swipe,NOUN
at,ADP
the,DET
state,NOUN
welfare,NOUN
department's,NOUN
handling,NOUN
of,ADP
federal,ADJ
funds,NOUN
granted,VERB
for,ADP
child,NOUN
welfare,NOUN
services,NOUN
in,ADP
foster,ADJ
homes,NOUN
!,ADJ
!,ADJ
this,DET
is,VERB
one,NUM
of,ADP
the,DET
major,ADJ
items,NOUN
in,ADP
the,DET
fulton,NOUN
county,NOUN
general,ADJ
assistance,NOUN
program,NOUN
!,ADJ
!,ADJ
the,DET
jury,NOUN
said,VERB
!,ADJ
but,CONJ
the,DET
state,NOUN
welfare,NOUN
department,NOUN
!,ADJ
has,VERB
seen,VERB
fit,ADJ
to,PRT
distribute,VERB
these,DET
funds,NOUN
through,ADP
the,DET
welfare,NOUN
departments,NOUN
of,ADP
all,PRT
the,DET
counties,NOUN
in,ADP
the,DET
state,NOUN
with,ADP
the,DET
exception,NOUN
of,ADP
fulton,NOUN
county,NOUN
!,ADJ
which,DET
receives,VERB
none,NOUN
of,ADP
this,DET
money,NOUN
!,ADJ
the,DET
jurors,NOUN
said,VERB
they,PRON
realize,VERB
!,ADJ
a,DET
proportionate,ADJ
distribution,NOUN
of,ADP
these,DET
funds,NOUN
might,VERB
disable,VERB
this,DET
program,NOUN
in,ADP
our,DET
less,ADV
populous,ADJ
counties,NOUN
!,ADJ
!,ADJ
nevertheless,ADV
!,ADJ
!,ADJ
we,PRON
feel,VERB
that,ADP
in,ADP
the,DET
future,NOUN
fulton,NOUN
county,NOUN
should,VERB
receive,VERB
some,DET
portion,NOUN
of,ADP
these,DET
available,ADJ
funds,NOUN
!,ADJ
!,ADJ
the,DET
jurors,NOUN
said,VERB
!,ADJ
!,ADJ
failure,NOUN
to,PRT
do,VERB
this,DET
will,VERB
continue,VERB
to,PRT
place,VERB
a,DET
disproportionate,ADJ
burden,NOUN
!,ADJ
on,ADP
fulton,NOUN
taxpayers,NOUN
!,ADJ
the,DET
jury,NOUN
also,ADV
commented,VERB
on,ADP
the,DET
fulton,NOUN
ordinary's,NOUN
court,NOUN
which,DET
has,VERB
been,VERB
under,ADP
fire,NOUN
for,ADP
its,DET
practices,NOUN
in,ADP
the,DET
appointment,NOUN
of,ADP
appraisers,NOUN
!,ADJ
guardians,NOUN
and,CONJ
administrators,NOUN
and,CONJ
the,DET
awarding,NOUN
of,ADP
fees,NOUN
and,CONJ
compensation,NOUN
!,ADJ
wards,NOUN
protected,VERB
the,DET
jury,NOUN
said,VERB
it,PRON
found,VERB
the,DET
court,NOUN
!,ADJ
has,VERB
incorporated,VERB
into,ADP
its,DET
operating,VERB
procedures,NOUN
the,DET
recommendations,NOUN
!,ADJ
of,ADP
two,NUM
previous,ADJ
grand,ADJ
juries,NOUN
!,ADJ
the,DET
atlanta,NOUN
bar,NOUN
association,NOUN
and,CONJ
an,DET
interim,NOUN
citizens,NOUN
committee,NOUN
!,ADJ
!,ADJ
these,DET
actions,NOUN
should,VERB
serve,VERB
to,PRT
protect,VERB
in,ADP
fact,NOUN
and,CONJ
in,ADP
effect,NOUN
the,DET
court's,NOUN
wards,NOUN
from,ADP
undue,ADJ
costs,NOUN
and,CONJ
its,DET
appointed,VERB
and,CONJ
elected,VERB
servants,NOUN
from,ADP
unmeritorious,ADJ
criticisms,NOUN
!,ADJ
!,ADJ
the,DET
jury,NOUN
said,VERB
!,ADJ
regarding,ADP
atlanta's,NOUN
new,ADJ
multi-million-dollar,ADJ
airport,NOUN
!,ADJ
the,DET
jury,NOUN
recommended,VERB
!,ADJ
that,ADP
when,ADV
the,DET
new,ADJ
management,NOUN
takes,VERB
charge,NOUN
jan.,NOUN
1,NUM
the,DET
airport,NOUN
be,VERB
operated,VERB
in,ADP
a,DET
manner,NOUN
that,PRON
will,VERB
eliminate,VERB
political,ADJ
influences,NOUN
!,ADJ
!,ADJ
the,DET
jury,NOUN
did,VERB
not,ADV
elaborate,VERB
!,ADJ
but,CONJ
it,PRON
added,VERB
that,ADP
!,ADJ
there,PRT
should,VERB
be,VERB
periodic,ADJ
surveillance,NOUN
of,ADP
the,DET
pricing,VERB
practices,NOUN
of,ADP
the,DET
concessionaires,NOUN
for,ADP
the,DET
purpose,NOUN
of,ADP
keeping,VERB
the,DET
prices,NOUN
reasonable,ADJ
!,ADJ
!,ADJ
ask,VERB
jail,NOUN
deputies,NOUN
on,ADP
other,ADJ
matters,NOUN
!,ADJ
the,DET
jury,NOUN
recommended,VERB
that,ADP
!,ADJ
!,ADJ
1,NUM
!,ADJ
four,NUM
additional,ADJ
deputies,NOUN
be,VERB
employed,VERB
at,ADP
the,DET
fulton,NOUN
county,NOUN
jail,NOUN
and,CONJ
!,ADJ
a,DET
doctor,NOUN
!,ADJ
medical,ADJ
intern,NOUN
or,CONJ
extern,NOUN
be,VERB
employed,VERB
for,ADP
night,NOUN
and,CONJ
weekend,NOUN
duty,NOUN
at,ADP
the,DET
jail,NOUN
!,ADJ
!,ADJ
!,ADJ
2,NUM
!,ADJ
fulton,NOUN
legislators,NOUN
!,ADJ
work,VERB
with,ADP
city,NOUN
officials,NOUN
to,PRT
pass,VERB
enabling,VERB
legislation,NOUN
that,PRON
will,VERB
permit,VERB
the,DET
establishment,NOUN
of,ADP
a,DET
fair,ADJ
and,CONJ
equitable,ADJ
!,ADJ
pension,NOUN
plan,NOUN
for,ADP
city,NOUN
employes,NOUN
!,ADJ
the,DET
jury,NOUN
praised,VERB
the,DET
administration,NOUN
and,CONJ
operation,NOUN
of,ADP
the,DET
atlanta,NOUN
police,NOUN
department,NOUN
!,ADJ
the,DET
fulton,NOUN
tax,NOUN
commissioner's,NOUN
office,NOUN
!,ADJ
the,DET
bellwood,NOUN
and,CONJ
alpharetta,NOUN
prison,NOUN
farms,NOUN
!,ADJ
grady,NOUN
hospital,NOUN
and,CONJ
the,DET
fulton,NOUN
health,NOUN
department,NOUN
!,ADJ
mayor,NOUN
william,NOUN
b.,NOUN
hartsfield,NOUN
filed,VERB
suit,NOUN
for,ADP
divorce,NOUN
from,ADP
his,DET
wife,NOUN
!,ADJ
pearl,NOUN
williams,NOUN
hartsfield,NOUN
!,ADJ
in,ADP
fulton,NOUN
superior,ADJ
court,NOUN
friday,NOUN
!,ADJ
his,DET
petition,NOUN
charged,VERB
mental,ADJ
cruelty,NOUN
!,ADJ
the,DET
couple,NOUN
was,VERB
married,VERB
aug.,NOUN
2,NUM
!,ADJ
1913,NUM
!,ADJ
they,PRON
have,VERB
a,DET
son,NOUN
!,ADJ
william,NOUN
berry,NOUN
jr.,NOUN
!,ADJ
and,CONJ
a,DET
daughter,NOUN
!,ADJ
mrs.,NOUN
j.,NOUN
m.,NOUN
cheshire,NOUN
of,ADP
griffin,NOUN
!,ADJ
attorneys,NOUN
for,ADP
the,DET
mayor,NOUN
said,VERB
that,ADP
an,DET
amicable,ADJ
property,NOUN
settlement,NOUN
has,VERB
been,VERB
agreed,VERB
upon,ADV
!,ADJ
the,DET
petition,NOUN
listed,VERB
the,DET
mayor's,NOUN
occupation,NOUN
as,ADP
!,ADJ
attorney,NOUN
!,ADJ
and,CONJ
his,DET
age,NOUN
as,ADP
71,NUM
!,ADJ
it,PRON
listed,VERB
his,DET
wife's,NOUN
age,NOUN
as,ADP
74,NUM
and,CONJ
place,NOUN
of,ADP
birth,NOUN
as,ADP
opelika,NOUN
!,ADJ
ala.,NOUN
!,ADJ
the,DET
petition,NOUN
said,VERB
that,ADP
the,DET
couple,NOUN
has,VERB
not,ADV
lived,VERB
together,ADV
as,ADP
man,NOUN
and,CONJ
wife,NOUN
for,ADP
more,ADJ
than,ADP
a,DET
year,NOUN
!,ADJ
the,DET
hartsfield,NOUN
home,NOUN
is,VERB
at,ADP
637,NUM
e.,NOUN
pelham,NOUN
rd.,NOUN
aj,NOUN
!,ADJ
henry,NOUN
l.,NOUN
bowden,NOUN
was,VERB
listed,VERB
on,ADP
the,DET
petition,NOUN
as,ADP
the,DET
mayor's,NOUN
attorney,NOUN
!,ADJ
hartsfield,NOUN
has,VERB
been,VERB
mayor,NOUN
of,ADP
atlanta,NOUN
!,ADJ
with,ADP
exception,NOUN
of,ADP
one,NUM
brief,ADJ
interlude,NOUN
!,ADJ
since,ADP
1937,NUM
!,ADJ
his,DET
political,ADJ
career,NOUN
goes,VERB
back,ADV
to,ADP
his,DET
election,NOUN
to,ADP
city,NOUN
council,NOUN
in,ADP
1923,NUM
!,ADJ
the,DET
mayor's,NOUN
present,ADJ
term,NOUN
of,ADP
office,NOUN
expires,VERB
jan.,NOUN
1,NUM
!,ADJ
he,PRON
will,VERB
be,VERB
succeeded,VERB
by,ADP
ivan,NOUN
allen,NOUN
jr.,NOUN
!,ADJ
who,PRON
became,VERB
a,DET
candidate,NOUN
in,ADP
the,DET
sept.,NOUN
13,NUM
primary,NOUN
after,ADP
mayor,NOUN
hartsfield,NOUN
announced,VERB
that,ADP
he,PRON
would,VERB
not,ADV
run,VERB
for,ADP
reelection,NOUN
!,ADJ
georgia,NOUN
republicans,NOUN
are,VERB
getting,VERB
strong,ADJ
encouragement,NOUN
to,PRT
enter,VERB
a,DET
candidate,NOUN
in,ADP
the,DET
1962,NUM
governor's,NOUN
race,NOUN
!,ADJ
a,DET
top,ADJ
official,NOUN
said,VERB
wednesday,NOUN
!,ADJ
robert,NOUN
snodgrass,NOUN
!,ADJ
state,NOUN
gop,NOUN
chairman,NOUN
!,ADJ
said,VERB
a,DET
meeting,NOUN
held,VERB
tuesday,NOUN
night,NOUN
in,ADP
blue,ADJ
ridge,NOUN
brought,VERB
enthusiastic,ADJ
responses,NOUN
from,ADP
the,DET
audience,NOUN
!,ADJ
state,NOUN
party,NOUN
chairman,NOUN
james,NOUN
w.,NOUN
dorsey,NOUN
added,VERB
that,ADP
enthusiasm,NOUN
was,VERB
picking,VERB
up,PRT
for,ADP
a,DET
state,NOUN
rally,NOUN
